2 | Every | time
2 | Empty | :
2 | Dream | Machine
2 | Discovering | the
2 | Cum_n_mybooty | :
2 | Ca | n't
2 | Aries | do
2 | Are | Empty
2 | Ai | n't
2 | About | to
2 | @ | xxopcye
2 | @ | tbhjuststop
2 | @ | lucyhale
2 | @ | avekyt_
2 | @ | _hayylayy
2 | @ | _YGTYB
2 | @ | WakeBaked
2 | @ | SincerelyTumblr
2 | @ | SashaaPieterse
2 | @ | OhyuFancyHuhFB
2 | @ | ONEJuryea
2 | @ | Lmao
2 | @ | Leo_h_t
2 | @ | Cum_n_mybooty
2 | @ | 2015Seniors
2 | ; | get
2 | ; | completely
2 | ; | buy
2 | ; | RT
2 | : | new
2 | : | fuck
2 | : | Who
2 | : | That
2 | : | Somebody
2 | : | So
2 | : | Robshaw
2 | : | Kanye
2 | : | Having
2 | : | Happy
2 | : | Getting
2 | : | Fuck
2 | : | For
2 | : | Every
2 | : | Discovering
2 | : | Black
2 | : | All
2 | 2015Seniors | :
2 | 200 | RT
2 | 2 | people
2 | 10 | times
2 | 10 | 000
2 | //t | …
2 | ) | “
2 | ) | —
2 | ) | as
2 | ( | RT
2 | ( | ;
2 | ( | 4
2 | 've | always
2 | 's | work
2 | 's | that
2 | 's | on
2 | 's | nothing
2 | 's | never
2 | 's | like
2 | 's | going
2 | 'reset | '
2 | 're | a
2 | 'm | tired
2 | 'm | pretty
2 | 'm | bored
2 | 'm | a
2 | 'd | be
2 | ' | button
2 | % | of
2 | # | …
2 | # | throwback
2 | # | openfollow
2 | # | oomf
2 | # | ThoughtsDuringSchool
2 | # | Sagittarius
2 | # | Follow2BeFollowed
